Lake,Parasite,Round,Locations,CV
Cedar,Pasteuria,1,Basin,2.645751311
Cedar,Pasteuria,2,Basin,1.707825128
Cedar,Pasteuria,3,Basin,1.049691313
Cedar,Pasteuria,4,Basin,1.198331556
Cedar,Pasteuria,5,Basin,1.663202675
Cedar,Pasteuria,6,Basin,2.497042992
Cedar,Pasteuria,7,Basin,1.810896576
Cedar,Pasteuria,8,Basin,2.645751311
Cedar,Pasteuria,9,Basin,1.333251822
Cedar,Pasteuria,10,Basin,1.511857892
Cedar,Pasteuria,11,Basin,2.828427125
Cedar,Pasteuria,12,Basin,2.828427125
Cedar,Pasteuria,1,Intermediate,2.626333466
Cedar,Pasteuria,2,Intermediate,2.645751311
Cedar,Pasteuria,3,Intermediate,2.530646788
Cedar,Pasteuria,4,Intermediate,1.302840448
Cedar,Pasteuria,5,Intermediate,1.670542066
Cedar,Pasteuria,6,Intermediate,1.961720195
Cedar,Pasteuria,7,Intermediate,0.882939617
Cedar,Pasteuria,8,Intermediate,2.449489743
Cedar,Pasteuria,9,Intermediate,2.645751311
Cedar,Pasteuria,10,Intermediate,1.561039896
Cedar,Pasteuria,11,Intermediate,1.707825128
Cedar,Pasteuria,12,Intermediate,0.935414347
Cedar,Pasteuria,1,Nearshore,2
Cedar,Pasteuria,2,Nearshore,2
Cedar,Pasteuria,3,Nearshore,1.925985071
Cedar,Pasteuria,4,Nearshore,1.783985736
Cedar,Pasteuria,5,Nearshore,1
Cedar,Pasteuria,6,Nearshore,1.411749791
Cedar,Pasteuria,7,Nearshore,1.912818095
Cedar,Pasteuria,8,Nearshore,2.067529691
Cedar,Pasteuria,9,Nearshore,1.950331932
Cedar,Pasteuria,10,Nearshore,2.15911913
Cedar,Pasteuria,11,Nearshore,1.99533382
Cedar,Pasteuria,12,Nearshore,2.07701377
Cedar,Metschnikowia,1,Basin,1.376892637
Cedar,Metschnikowia,2,Basin,0.789429519
Cedar,Metschnikowia,3,Basin,NA
Cedar,Metschnikowia,4,Basin,1.362338826
Cedar,Metschnikowia,5,Basin,2.645751311
Cedar,Metschnikowia,6,Basin,NA
Cedar,Metschnikowia,7,Basin,1.447762243
Cedar,Metschnikowia,8,Basin,1.707825128
Cedar,Metschnikowia,9,Basin,1.984063491
Cedar,Metschnikowia,10,Basin,1.398261697
Cedar,Metschnikowia,11,Basin,2.828427125
Cedar,Metschnikowia,12,Basin,1.380131119
Cedar,Metschnikowia,1,Intermediate,1.707825128
Cedar,Metschnikowia,2,Intermediate,1.707825128
Cedar,Metschnikowia,3,Intermediate,1.707825128
Cedar,Metschnikowia,4,Intermediate,2.449489743
Cedar,Metschnikowia,5,Intermediate,2.449489743
Cedar,Metschnikowia,6,Intermediate,NA
Cedar,Metschnikowia,7,Intermediate,NA
Cedar,Metschnikowia,8,Intermediate,2.449489743
Cedar,Metschnikowia,9,Intermediate,1.707825128
Cedar,Metschnikowia,10,Intermediate,2.645751311
Cedar,Metschnikowia,11,Intermediate,1.707825128
Cedar,Metschnikowia,12,Intermediate,NA
Cedar,Metschnikowia,1,Nearshore,2
Cedar,Metschnikowia,2,Nearshore,NA
Cedar,Metschnikowia,3,Nearshore,NA
Cedar,Metschnikowia,4,Nearshore,2
Cedar,Metschnikowia,5,Nearshore,NA
Cedar,Metschnikowia,6,Nearshore,NA
Cedar,Metschnikowia,7,Nearshore,2
Cedar,Metschnikowia,8,Nearshore,NA
Cedar,Metschnikowia,9,Nearshore,NA
Cedar,Metschnikowia,10,Nearshore,2.236067977
Cedar,Metschnikowia,11,Nearshore,NA
Cedar,Metschnikowia,12,Nearshore,2.236067977
Cedar,Ordospora,1,Basin,2.511164077
Cedar,Ordospora,2,Basin,1.819377052
Cedar,Ordospora,3,Basin,1.324711343
Cedar,Ordospora,4,Basin,1.072201189
Cedar,Ordospora,5,Basin,0.726653743
Cedar,Ordospora,6,Basin,1.09081232
Cedar,Ordospora,7,Basin,1.046690696
Cedar,Ordospora,8,Basin,1.099532069
Cedar,Ordospora,9,Basin,1.025916886
Cedar,Ordospora,10,Basin,1.108980293
Cedar,Ordospora,11,Basin,0.668442897
Cedar,Ordospora,12,Basin,0.721197348
Cedar,Ordospora,1,Intermediate,2.585440499
Cedar,Ordospora,2,Intermediate,1.707825128
Cedar,Ordospora,3,Intermediate,1.338507206
Cedar,Ordospora,4,Intermediate,1.131776905
Cedar,Ordospora,5,Intermediate,0.460704397
Cedar,Ordospora,6,Intermediate,1.381639045
Cedar,Ordospora,7,Intermediate,1.131909896
Cedar,Ordospora,8,Intermediate,1.575064536
Cedar,Ordospora,9,Intermediate,1.033996349
Cedar,Ordospora,10,Intermediate,1.971633815
Cedar,Ordospora,11,Intermediate,0.822755779
Cedar,Ordospora,12,Intermediate,0.954192819
Cedar,Ordospora,1,Nearshore,NA
Cedar,Ordospora,2,Nearshore,NA
Cedar,Ordospora,3,Nearshore,1.842248771
Cedar,Ordospora,4,Nearshore,1.192258315
Cedar,Ordospora,5,Nearshore,1.535616502
Cedar,Ordospora,6,Nearshore,1.173118439
Cedar,Ordospora,7,Nearshore,1.989033688
Cedar,Ordospora,8,Nearshore,1.832281377
Cedar,Ordospora,9,Nearshore,1.817701352
Cedar,Ordospora,10,Nearshore,2.138277869
Cedar,Ordospora,11,Nearshore,1.936626954
Cedar,Ordospora,12,Nearshore,2.189257086
Cedar,Blastulidium,1,Basin,2.035603824
Cedar,Blastulidium,2,Basin,0.952016037
Cedar,Blastulidium,3,Basin,0.840281011
Cedar,Blastulidium,4,Basin,2.316184105
Cedar,Blastulidium,5,Basin,1.001603834
Cedar,Blastulidium,6,Basin,0.705965807
Cedar,Blastulidium,7,Basin,1.504820647
Cedar,Blastulidium,8,Basin,0.993424717
Cedar,Blastulidium,9,Basin,1.76549095
Cedar,Blastulidium,10,Basin,1.658802775
Cedar,Blastulidium,11,Basin,0.245826484
Cedar,Blastulidium,12,Basin,0.390633117
Cedar,Blastulidium,1,Intermediate,2.485211527
Cedar,Blastulidium,2,Intermediate,2.017197595
