Lake,Parasite,Depth,CV
Mill,Blastulidium,0,0.921718955
Mill,Blastulidium,1,1.759305942
Mill,Blastulidium,2,1.51477884
Mill,Blastulidium,3,1.402425506
Mill,Blastulidium,4,1.488311483
Mill,Blastulidium,5,2.31054775
Mill,Blastulidium,6,1.387962622
Walsh,Blastulidium,0,0.832515541
Walsh,Blastulidium,1,1.569350187
Walsh,Blastulidium,2,1.071069713
Walsh,Blastulidium,3,1.834380711
Walsh,Blastulidium,4,1.910556269
Walsh,Blastulidium,5,1.926570565
Walsh,Blastulidium,6,1.237830888
LilAp,Blastulidium,0,2.236067977
LilAp,Blastulidium,1,2.150247172
LilAp,Blastulidium,2,2.847394018
LilAp,Blastulidium,3,1.729582342
LilAp,Blastulidium,4,1.743481065
LilAp,Blastulidium,5,NA
LilAp,Blastulidium,6,2.773819003
CrookedW,Blastulidium,0,0.925251284
CrookedW,Blastulidium,1,2.150247172
CrookedW,Blastulidium,2,2.486326242
CrookedW,Blastulidium,3,1.30750038
CrookedW,Blastulidium,4,2.020983897
CrookedW,Blastulidium,5,2.075072999
CrookedW,Blastulidium,6,1.641943586
Cedar,Blastulidium,0,1.100443715
Cedar,Blastulidium,1,1.20812166
Cedar,Blastulidium,2,1.142277799
Cedar,Blastulidium,3,1.276397149
Cedar,Blastulidium,4,1.529181713
Cedar,Blastulidium,5,0.819336727
Cedar,Blastulidium,6,1.324685312
Cedar,Blastulidium,7,1.079919383
Mill,Metschnikowia,0,2.236067977
Mill,Metschnikowia,1,1.378181733
Mill,Metschnikowia,2,2.312862463
Mill,Metschnikowia,3,1.997417039
Mill,Metschnikowia,4,1.622909456
Mill,Metschnikowia,5,1.544996584
Mill,Metschnikowia,6,1.594367024
Walsh,Metschnikowia,0,2.405165726
Walsh,Metschnikowia,1,1.633537025
Walsh,Metschnikowia,2,1.619574852
Walsh,Metschnikowia,3,1.017458572
Walsh,Metschnikowia,4,1.693144997
Walsh,Metschnikowia,5,1.512829645
Walsh,Metschnikowia,6,1.538846313
LilAp,Metschnikowia,0,0.696732519
LilAp,Metschnikowia,1,1.368390892
LilAp,Metschnikowia,2,1.630028768
LilAp,Metschnikowia,3,1.55498821
LilAp,Metschnikowia,4,1.604539016
LilAp,Metschnikowia,5,1.965015308
LilAp,Metschnikowia,6,1.659663176
CrookedW,Metschnikowia,0,1.22133454
CrookedW,Metschnikowia,1,1.350276368
CrookedW,Metschnikowia,2,0.911605688
CrookedW,Metschnikowia,3,1.002593406
CrookedW,Metschnikowia,4,0.952305541
CrookedW,Metschnikowia,5,1.088390011
CrookedW,Metschnikowia,6,1.527654349
Cedar,Metschnikowia,0,NA
Cedar,Metschnikowia,1,1.572386267
Cedar,Metschnikowia,2,2.202380489
Cedar,Metschnikowia,3,3.464101615
Cedar,Metschnikowia,4,1.809068067
Cedar,Metschnikowia,5,2.486326242
Cedar,Metschnikowia,6,1.724454453
Cedar,Metschnikowia,7,1.665641153
Mill,Ordospora,0,0.525947137
Mill,Ordospora,1,1.213852185
Mill,Ordospora,2,1.498911251
Mill,Ordospora,3,1.170422618
Mill,Ordospora,4,1.212445062
Mill,Ordospora,5,1.170479536
Mill,Ordospora,6,2.349670349
Walsh,Ordospora,0,1.05145228
Walsh,Ordospora,1,1.1486807
Walsh,Ordospora,2,1.116026885
Walsh,Ordospora,3,1.212654111
Walsh,Ordospora,4,0.957886421
Walsh,Ordospora,5,1.450789052
Walsh,Ordospora,6,1.569432929
LilAp,Ordospora,0,1.381640825
LilAp,Ordospora,1,1.482389059
LilAp,Ordospora,2,1.165943921
LilAp,Ordospora,3,1.977046189
LilAp,Ordospora,4,0.924241246
LilAp,Ordospora,5,1.072268275
