Lake,Parasite,Round,Location,CV
Walsh,Pasteuria,1,Basin,2.236067977
Walsh,Pasteuria,2,Basin,0.479773487
Walsh,Pasteuria,3,Basin,1.369306394
Walsh,Pasteuria,4,Basin,2.449489743
Walsh,Pasteuria,5,Basin,2.171722126
Walsh,Pasteuria,6,Basin,2.443954409
Walsh,Pasteuria,7,Basin,1.260287724
Walsh,Pasteuria,8,Basin,2.121307397
Walsh,Pasteuria,9,Basin,2.602235921
Walsh,Pasteuria,10,Basin,2.156652836
Walsh,Pasteuria,11,Basin,0.601366232
Walsh,Pasteuria,12,Basin,2.092481127
Walsh,Pasteuria,1,Intermediate,1.154700538
Walsh,Pasteuria,2,Intermediate,2
Walsh,Pasteuria,3,Intermediate,1.15473219
Walsh,Pasteuria,4,Intermediate,2
Walsh,Pasteuria,5,Intermediate,NA
Walsh,Pasteuria,6,Intermediate,1.221603311
Walsh,Pasteuria,7,Intermediate,0.76951649
Walsh,Pasteuria,8,Intermediate,1.940155766
Walsh,Pasteuria,9,Intermediate,1.931737066
Walsh,Pasteuria,10,Intermediate,1.200976467
Walsh,Pasteuria,11,Intermediate,2.417865005
Walsh,Pasteuria,12,Intermediate,1.549193338
Walsh,Pasteuria,1,Nearshore,NA
Walsh,Pasteuria,2,Nearshore,NA
Walsh,Pasteuria,3,Nearshore,NA
Walsh,Pasteuria,4,Nearshore,1.732050808
Walsh,Pasteuria,5,Nearshore,NA
Walsh,Pasteuria,6,Nearshore,1.909796475
Walsh,Pasteuria,7,Nearshore,0.688472078
Walsh,Pasteuria,8,Nearshore,2
Walsh,Pasteuria,9,Nearshore,1.507282982
Walsh,Pasteuria,10,Nearshore,2.195775291
Walsh,Pasteuria,11,Nearshore,2.233260964
Walsh,Pasteuria,12,Nearshore,2.236067977
Walsh,Metschnikowia,1,Basin,1.733849092
Walsh,Metschnikowia,2,Basin,1.393726188
Walsh,Metschnikowia,3,Basin,NA
Walsh,Metschnikowia,4,Basin,1.903125081
Walsh,Metschnikowia,5,Basin,0.942592124
Walsh,Metschnikowia,6,Basin,2.264906963
Walsh,Metschnikowia,7,Basin,0.774596669
Walsh,Metschnikowia,8,Basin,2.336684925
Walsh,Metschnikowia,9,Basin,2.064428571
Walsh,Metschnikowia,10,Basin,0.503803905
Walsh,Metschnikowia,11,Basin,0.300258832
Walsh,Metschnikowia,12,Basin,0.731341857
Walsh,Metschnikowia,1,Intermediate,2
Walsh,Metschnikowia,2,Intermediate,NA
Walsh,Metschnikowia,3,Intermediate,NA
Walsh,Metschnikowia,4,Intermediate,0.666666667
Walsh,Metschnikowia,5,Intermediate,1.154700538
Walsh,Metschnikowia,6,Intermediate,1.576444373
Walsh,Metschnikowia,7,Intermediate,1.411749791
Walsh,Metschnikowia,8,Intermediate,0.372677996
Walsh,Metschnikowia,9,Intermediate,1.403806683
Walsh,Metschnikowia,10,Intermediate,0.465885063
Walsh,Metschnikowia,11,Intermediate,1.660402099
Walsh,Metschnikowia,12,Intermediate,0.365624709
Walsh,Metschnikowia,1,Nearshore,NA
Walsh,Metschnikowia,2,Nearshore,NA
Walsh,Metschnikowia,3,Nearshore,NA
Walsh,Metschnikowia,4,Nearshore,NA
Walsh,Metschnikowia,5,Nearshore,0.866025404
Walsh,Metschnikowia,6,Nearshore,NA
Walsh,Metschnikowia,7,Nearshore,1.732050808
Walsh,Metschnikowia,8,Nearshore,1.276107496
Walsh,Metschnikowia,9,Nearshore,1.2747223
Walsh,Metschnikowia,10,Nearshore,1.461939405
Walsh,Metschnikowia,11,Nearshore,2.234964284
Walsh,Metschnikowia,12,Nearshore,2.069072383
Walsh,Ordospora,1,Basin,2.236067977
Walsh,Ordospora,2,Basin,NA
Walsh,Ordospora,3,Basin,1.045825033
Walsh,Ordospora,4,Basin,1.82573468
Walsh,Ordospora,5,Basin,0.96167355
Walsh,Ordospora,6,Basin,2.358421057
Walsh,Ordospora,7,Basin,0.736285536
Walsh,Ordospora,8,Basin,2.62148393
Walsh,Ordospora,9,Basin,2.629599577
Walsh,Ordospora,10,Basin,1.957558235
Walsh,Ordospora,11,Basin,0.968490724
