Parasite,Round,Lake,CV,MixingDepth
Pasteuria,1,Cedar,2.645751311,1
Pasteuria,2,Cedar,1.707825128,2
Pasteuria,3,Cedar,1.049691313,1
Pasteuria,4,Cedar,1.198331556,3
Pasteuria,5,Cedar,1.663202675,3
Pasteuria,6,Cedar,2.497042992,3
Pasteuria,7,Cedar,1.810896576,3
Pasteuria,8,Cedar,2.645751311,4
Pasteuria,9,Cedar,1.333251822,4
Pasteuria,10,Cedar,1.511857892,2
Pasteuria,11,Cedar,2.828427125,6
Pasteuria,12,Cedar,2.828427125,6
Metschnikowia,1,Cedar,1.376892637,1
Metschnikowia,2,Cedar,0.789429519,2
Metschnikowia,3,Cedar,NA,1
Metschnikowia,4,Cedar,1.362338826,3
Metschnikowia,5,Cedar,2.645751311,3
Metschnikowia,6,Cedar,NA,3
Metschnikowia,7,Cedar,1.447762243,3
Metschnikowia,8,Cedar,1.707825128,4
Metschnikowia,9,Cedar,1.984063491,4
Metschnikowia,10,Cedar,1.398261697,2
Metschnikowia,11,Cedar,2.828427125,6
Metschnikowia,12,Cedar,1.380131119,6
Ordospora,1,Cedar,2.511164077,1
Ordospora,2,Cedar,1.819377052,2
Ordospora,3,Cedar,1.324711343,1
Ordospora,4,Cedar,1.072201189,3
Ordospora,5,Cedar,0.726653743,3
Ordospora,6,Cedar,1.09081232,3
Ordospora,7,Cedar,1.046690696,3
Ordospora,8,Cedar,1.099532069,4
Ordospora,9,Cedar,1.025916886,4
Ordospora,10,Cedar,1.108980293,2
Ordospora,11,Cedar,0.668442897,6
Ordospora,12,Cedar,0.721197348,6
Blastulidium,1,Cedar,2.035603824,1
Blastulidium,2,Cedar,0.952016037,2
Blastulidium,3,Cedar,0.840281011,1
Blastulidium,4,Cedar,2.316184105,3
Blastulidium,5,Cedar,1.001603834,3
Blastulidium,6,Cedar,0.705965807,3
Blastulidium,7,Cedar,1.504820647,3
Blastulidium,8,Cedar,0.993424717,4
Blastulidium,9,Cedar,1.76549095,4
Blastulidium,10,Cedar,1.658802775,2
Blastulidium,11,Cedar,0.245826484,6
Blastulidium,12,Cedar,0.390633117,6
Spirobacillus,1,Cedar,0.996199851,1
Spirobacillus,2,Cedar,0.60559967,2
Spirobacillus,3,Cedar,0.909203575,1
Spirobacillus,4,Cedar,0.764751039,3
Spirobacillus,5,Cedar,0.735073304,3
Spirobacillus,6,Cedar,0.749973297,3
Spirobacillus,7,Cedar,1.0308794,3
Spirobacillus,8,Cedar,0.496942124,4
Spirobacillus,9,Cedar,0.243769257,4
Spirobacillus,10,Cedar,0.561313427,2
Spirobacillus,11,Cedar,0.117902565,6
Spirobacillus,12,Cedar,0.492632998,6
