Parasite,Round,Lake,CV,MixingDepth
Pasteuria,1,CrookedW,2.097085713,2
Pasteuria,2,CrookedW,1.095445115,3
Pasteuria,3,CrookedW,2.184639558,2
Pasteuria,4,CrookedW,1.369306394,5
Pasteuria,5,CrookedW,1.549193338,4
Pasteuria,6,CrookedW,NA,5
Pasteuria,7,CrookedW,1.095445115,4
Pasteuria,8,CrookedW,1.502399207,5
Pasteuria,9,CrookedW,1.06124449,5
Pasteuria,10,CrookedW,NA,5
Pasteuria,11,CrookedW,1.331665624,5
Pasteuria,12,CrookedW,1.981625249,5
Metschnikowia,1,CrookedW,0.725469183,2
Metschnikowia,2,CrookedW,1.549193338,3
Metschnikowia,3,CrookedW,1.095445115,2
Metschnikowia,4,CrookedW,1.369306394,5
Metschnikowia,5,CrookedW,2.449489743,4
Metschnikowia,6,CrookedW,1.095445115,5
Metschnikowia,7,CrookedW,0.999423313,4
Metschnikowia,8,CrookedW,1,5
Metschnikowia,9,CrookedW,0.805076486,5
Metschnikowia,10,CrookedW,1.981625249,5
Metschnikowia,11,CrookedW,0.603822531,5
Metschnikowia,12,CrookedW,0.372374944,5
Ordospora,1,CrookedW,1.549193338,2
Ordospora,2,CrookedW,0.774596669,3
Ordospora,3,CrookedW,1.52974361,2
Ordospora,4,CrookedW,0.514163387,5
Ordospora,5,CrookedW,1.074428697,4
Ordospora,6,CrookedW,2.332428403,5
Ordospora,7,CrookedW,2.344757456,4
Ordospora,8,CrookedW,1.677232967,5
Ordospora,9,CrookedW,2.429729792,5
Ordospora,10,CrookedW,2.23956633,5
Ordospora,11,CrookedW,0.572813353,5
Ordospora,12,CrookedW,0.935414347,5
Blastulidium,1,CrookedW,2.019542294,2
Blastulidium,2,CrookedW,1.262718924,3
Blastulidium,3,CrookedW,NA,2
Blastulidium,4,CrookedW,NA,5
Blastulidium,5,CrookedW,2.449489743,4
Blastulidium,6,CrookedW,2.449489743,5
Blastulidium,7,CrookedW,NA,4
Blastulidium,8,CrookedW,1.498600304,5
Blastulidium,9,CrookedW,1.339554366,5
Blastulidium,10,CrookedW,2.426354761,5
Blastulidium,11,CrookedW,1.063160891,5
Blastulidium,12,CrookedW,2.018138173,5
Spirobacillus,1,CrookedW,0.7025177,2
Spirobacillus,2,CrookedW,0.225363109,3
Spirobacillus,3,CrookedW,1.060288105,2
Spirobacillus,4,CrookedW,0.200678679,5
Spirobacillus,5,CrookedW,0.348631978,4
Spirobacillus,6,CrookedW,0.38733935,5
Spirobacillus,7,CrookedW,0.464755418,4
Spirobacillus,8,CrookedW,0.637322782,5
Spirobacillus,9,CrookedW,0.466555972,5
Spirobacillus,10,CrookedW,0.308149367,5
Spirobacillus,11,CrookedW,0.164301048,5
Spirobacillus,12,CrookedW,0.252732199,5
