Parasite,Round,Lake,CV,MixingDepth
Pasteuria,1,LilAp,1.847487933,1
Pasteuria,2,LilAp,2.449489743,2
Pasteuria,3,LilAp,NA,1
Pasteuria,4,LilAp,NA,1
Pasteuria,5,LilAp,1.095445115,2
Pasteuria,6,LilAp,0.894427191,2
Pasteuria,7,LilAp,0.471094557,2
Pasteuria,8,LilAp,0.460299999,2
Pasteuria,9,LilAp,1.429749155,2
Pasteuria,10,LilAp,0.667162219,2
Pasteuria,11,LilAp,0.932575527,5
Pasteuria,12,LilAp,1.835856849,NA
Metschnikowia,1,LilAp,NA,1
Metschnikowia,2,LilAp,0.612472404,2
Metschnikowia,3,LilAp,1.103189981,1
Metschnikowia,4,LilAp,2.449489743,1
Metschnikowia,5,LilAp,1.095445115,2
Metschnikowia,6,LilAp,NA,2
Metschnikowia,7,LilAp,2.449489743,2
Metschnikowia,8,LilAp,1.049691313,2
Metschnikowia,9,LilAp,1.590223768,2
Metschnikowia,10,LilAp,0.814522504,2
Metschnikowia,11,LilAp,0.481358293,5
Metschnikowia,12,LilAp,0.925895417,NA
Ordospora,1,LilAp,1.847487933,1
Ordospora,2,LilAp,2.449489743,2
Ordospora,3,LilAp,1.549193338,1
Ordospora,4,LilAp,0.652876423,1
Ordospora,5,LilAp,1.244906181,2
Ordospora,6,LilAp,2.449489743,2
Ordospora,7,LilAp,0.891316283,2
Ordospora,8,LilAp,0.816496581,2
Ordospora,9,LilAp,1.376032772,2
Ordospora,10,LilAp,1.247219129,2
Ordospora,11,LilAp,0.887633474,5
Ordospora,12,LilAp,1.070606655,NA
Blastulidium,1,LilAp,1.747409352,1
Blastulidium,2,LilAp,NA,2
Blastulidium,3,LilAp,2.449489743,1
Blastulidium,4,LilAp,2.449489743,1
Blastulidium,5,LilAp,NA,2
Blastulidium,6,LilAp,1.814001264,2
Blastulidium,7,LilAp,2.449489743,2
Blastulidium,8,LilAp,1.9909965,2
Blastulidium,9,LilAp,2.560694537,2
Blastulidium,10,LilAp,1.835856849,2
Blastulidium,11,LilAp,1.536622811,5
Blastulidium,12,LilAp,1.174770608,NA
Spirobacillus,1,LilAp,1.259631991,1
Spirobacillus,2,LilAp,0.872197609,2
Spirobacillus,3,LilAp,1.048295912,1
Spirobacillus,4,LilAp,0.727156543,1
Spirobacillus,5,LilAp,0.847969958,2
Spirobacillus,6,LilAp,1.757494168,2
Spirobacillus,7,LilAp,0.929902756,2
Spirobacillus,8,LilAp,0.770771331,2
Spirobacillus,9,LilAp,2.019775529,2
Spirobacillus,10,LilAp,0.847447438,2
Spirobacillus,11,LilAp,0.491849499,5
Spirobacillus,12,LilAp,0.706638847,NA
