Parasite,Round,Lake,CV,MixingDepth
Pasteuria,1,Mill,2.236067977,1
Pasteuria,2,Mill,NA,1
Pasteuria,3,Mill,2.236067977,3
Pasteuria,4,Mill,2.236067977,1
Pasteuria,5,Mill,2.236067977,2
Pasteuria,6,Mill,2.385238693,2
Pasteuria,7,Mill,NA,3
Pasteuria,8,Mill,2.628277057,3
Pasteuria,9,Mill,1.981625249,1
Pasteuria,10,Mill,1.373036025,4
Pasteuria,11,Mill,1.707825128,5
Pasteuria,12,Mill,NA,5
Metschnikowia,1,Mill,1.552189745,1
Metschnikowia,2,Mill,2.236067977,1
Metschnikowia,3,Mill,NA,3
Metschnikowia,4,Mill,0.707106781,1
Metschnikowia,5,Mill,1.627295544,2
Metschnikowia,6,Mill,2.229300049,2
Metschnikowia,7,Mill,1.045825033,3
Metschnikowia,8,Mill,1.682144605,3
Metschnikowia,9,Mill,NA,1
Metschnikowia,10,Mill,2.184240847,4
Metschnikowia,11,Mill,1.230343273,5
Metschnikowia,12,Mill,2.645751311,5
Ordospora,1,Mill,2.236067977,1
Ordospora,2,Mill,2.236067977,1
Ordospora,3,Mill,1.0709687,3
Ordospora,4,Mill,1.203298366,1
Ordospora,5,Mill,1.557624053,2
Ordospora,6,Mill,0.939365645,2
Ordospora,7,Mill,0.6368957,3
Ordospora,8,Mill,2.356556486,3
Ordospora,9,Mill,1.47974498,1
Ordospora,10,Mill,0.624425568,4
Ordospora,11,Mill,1.630048464,5
Ordospora,12,Mill,0.932575527,5
Blastulidium,1,Mill,2.236067977,1
Blastulidium,2,Mill,NA,1
Blastulidium,3,Mill,NA,3
Blastulidium,4,Mill,1.257888696,1
Blastulidium,5,Mill,1.224175653,2
Blastulidium,6,Mill,2.265619114,2
Blastulidium,7,Mill,1.322841149,3
Blastulidium,8,Mill,2.250190185,3
Blastulidium,9,Mill,0.945979422,1
Blastulidium,10,Mill,0.601202949,4
Blastulidium,11,Mill,1.175341748,5
Blastulidium,12,Mill,0.510988802,5
Spirobacillus,1,Mill,1.084008654,1
Spirobacillus,2,Mill,0.435864769,1
Spirobacillus,3,Mill,0.633131921,3
Spirobacillus,4,Mill,0.922893844,1
Spirobacillus,5,Mill,0.959387538,2
Spirobacillus,6,Mill,0.973939826,2
Spirobacillus,7,Mill,0.313531685,3
Spirobacillus,8,Mill,0.343802174,3
Spirobacillus,9,Mill,0.554937423,1
Spirobacillus,10,Mill,0.427362493,4
Spirobacillus,11,Mill,0.403766742,5
Spirobacillus,12,Mill,0.434578132,5
